ID;Date From;Date To;Lead Time;Process Type;Type;Team
13985;2009-11-06;2009-11-06;25;Scrum;Bug;
13989;2009-11-06;2009-11-06;1;Scrum;Bug;
13992;2010-02-17;2010-02-17;3;Scrum;Bug;
13994;2009-11-09;2009-11-09;12;Scrum;Feature;
14002;2009-11-09;2009-11-09;3;Scrum;Bug;
14004;2009-11-09;2009-11-10;21;Scrum;Bug;
14008;2009-11-16;2009-11-16;5;Scrum;Bug;
14009;2009-12-09;2009-12-09;2;Scrum;Bug;
14030;2009-11-09;2009-11-09;24;Scrum;Bug;
14036;2009-11-09;2009-11-09;1;Scrum;Bug;
14039;2009-11-09;2009-11-09;1;Scrum;Feature;
14052;2009-11-10;2009-11-10;13;Scrum;Bug;
14056;2010-02-12;2010-02-17;1;Scrum;Bug;
14057;2010-02-22;2010-02-22;3;Scrum;Bug;
14058;2009-11-10;2009-11-11;1;Scrum;Bug;
14060;2009-11-10;2009-11-10;13;Scrum;Feature;
14073;2009-11-11;2009-11-11;1;Scrum;Bug;
14076;2009-11-11;2009-11-11;1;Scrum;Bug;
14084;2010-02-17;2010-02-17;10;Scrum;Feature;
14085;2009-11-11;2009-11-11;8;Scrum;Bug;
14087;2009-11-11;2009-11-11;1;Scrum;Bug;
14088;2009-11-11;2009-11-11;1;Scrum;Bug;
14090;2009-11-11;2009-11-11;10;Scrum;Bug;
14097;2009-11-11;2009-11-11;16;Scrum;Bug;
14098;2009-11-11;2009-11-11;8;Scrum;Bug;
14099;2009-11-11;2009-11-11;16;Scrum;Bug;
14100;2009-11-11;2009-11-11;15;Scrum;Bug;
14101;2009-11-11;2009-11-11;16;Scrum;Bug;
14102;2009-11-11;2009-11-11;8;Scrum;Bug;
14131;2010-03-15;2010-03-25;16;Scrum;Bug;
14138;2009-11-12;2009-11-12;22;Scrum;Bug;
14167;2009-11-30;2009-11-30;2;Scrum;Bug;
14173;2009-11-15;2009-11-17;18;Scrum;Feature;
14177;2009-11-30;2009-11-30;1;Scrum;Bug;
14178;2009-11-18;2009-11-18;6;Scrum;Bug;
14196;2009-11-15;2009-11-16;25;Scrum;Feature;
14213;2010-04-09;2010-04-09;1;Scrum;Feature;
14216;2009-11-17;2009-11-17;15;Scrum;Bug;
14217;2010-01-13;2010-05-11;1;Scrum;Bug;
14219;2010-01-27;2010-02-16;14;Scrum;Bug;
14229;2010-02-22;2010-02-22;7;Scrum;Bug;
14231;2009-11-18;2009-11-18;15;Scrum;Feature;
14233;2012-12-06;2012-12-06;14;Kanban;Bug;Helium
14234;2009-12-04;2009-12-04;5;Scrum;Bug;
14236;2009-11-16;2009-11-16;1;Scrum;Bug;
14240;2009-12-01;2009-12-02;1;Scrum;Bug;
14242;2009-11-30;2009-12-01;4;Scrum;Feature;
14248;2009-11-17;2009-11-17;1;Scrum;Bug;
14251;2009-11-17;2009-11-17;4;Scrum;Bug;
14252;2009-11-17;2009-11-17;2;Scrum;Bug;
14253;2010-02-12;2010-02-23;7;Scrum;Bug;
14254;2010-02-16;2010-02-17;9;Scrum;Bug;
14262;2009-11-17;2009-11-17;2;Scrum;Bug;
14272;2009-11-18;2009-11-18;9;Scrum;Feature;
14276;2009-11-17;2009-11-18;1;Scrum;Bug;
14279;2009-11-17;2009-11-17;2;Scrum;Bug;
14287;2009-11-18;2009-11-25;1;Scrum;Bug;
14294;2009-11-18;2009-11-18;13;Scrum;Feature;
14301;2010-03-04;2010-03-11;20;Scrum;Bug;
14302;2009-11-18;2009-11-18;5;Scrum;Bug;
14315;2009-11-18;2009-11-18;2;Scrum;Bug;
14319;2009-11-18;2009-11-19;8;Scrum;Bug;
14332;2009-11-20;2009-11-26;1;Scrum;Feature;
14336;2009-11-26;2009-11-26;11;Scrum;Feature;
14340;2009-11-19;2009-11-25;2;Scrum;Bug;
14368;2009-11-19;2009-12-02;6;Scrum;Feature;
14369;2009-11-19;2009-11-19;16;Scrum;Bug;
14374;2010-04-08;2010-04-12;157;Scrum;Bug;
14375;2009-11-19;2009-11-19;13;Scrum;Bug;
14377;2009-11-19;2009-11-19;13;Scrum;Bug;
14378;2009-11-19;2009-11-23;8;Scrum;Bug;
14380;2009-11-19;2009-11-19;8;Scrum;Bug;
14381;2009-11-19;2009-11-19;8;Scrum;Bug;
14382;2009-11-25;2009-11-25;16;Scrum;Feature;
14384;2009-12-04;2009-12-04;127;Scrum;Feature;
14385;2009-12-01;2009-12-01;129;Scrum;Feature;
14387;2009-11-23;2009-11-23;8;Scrum;Feature;
14388;2009-11-25;2009-11-25;1;Scrum;Feature;
14393;2009-11-24;2009-12-01;6;Scrum;Feature;
14395;2009-12-02;2009-12-02;7;Scrum;Feature;
14396;2009-11-20;2009-12-01;1;Scrum;Feature;
14399;2009-11-20;2009-11-27;13;Scrum;Feature;
14412;2009-11-24;2009-11-26;16;Scrum;Feature;
14414;2009-11-20;2009-11-20;1;Scrum;Bug;
14420;2009-11-20;2009-11-23;12;Scrum;Feature;
14422;2009-11-20;2009-11-20;1;Scrum;Bug;
14424;2009-11-24;2009-11-30;4;Scrum;Feature;
14425;2009-11-20;2009-11-20;11;Scrum;Bug;
14427;2009-11-20;2009-11-20;11;Scrum;Bug;
14428;2009-11-20;2009-11-20;11;Scrum;Bug;
14430;2009-11-23;2009-11-23;2;Scrum;Feature;
14431;2009-11-20;2009-11-25;13;Scrum;Bug;
14434;2009-11-20;2009-11-20;11;Scrum;Bug;
14437;2009-11-23;2009-11-23;15;Scrum;Feature;
14440;2009-11-20;2009-11-20;1;Scrum;Bug;
14450;2010-05-12;2010-05-12;64;Scrum;Feature;
14454;2009-11-26;2009-11-26;19;Scrum;Feature;
14460;2009-11-20;2009-11-20;4;Scrum;Bug;
14464;2009-11-25;2009-11-25;1;Scrum;Bug;
14469;2009-11-23;2009-11-24;2;Scrum;Feature;
14484;2012-12-12;2012-12-12;6;Kanban;Bug;Argon
14487;2009-12-09;2009-12-14;60;Scrum;Bug;
14488;2009-12-07;2009-12-07;123;Scrum;Feature;
14490;2010-02-22;2010-02-23;1;Scrum;Bug;
14491;2009-11-23;2009-11-26;12;Scrum;Feature;
14492;2009-11-23;2009-11-23;1;Scrum;Bug;
14535;2009-11-23;2009-12-01;4;Scrum;Bug;
